epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99935,1.35024,3.54836,1.42428,0.00583,0.56159,0.16589,0.0978,0.8494,3.41543,1.08911,8.888e-05,8.888e-05,8.888e-05
2,12.0583,1.18453,3.23678,1.33512,0.00706,0.57555,0.26732,0.16778,0.90225,3.36828,1.08181,0.000185754,0.000185754,0.000185754
3,14.9217,1.19738,2.93372,1.31694,0.00729,0.56999,0.27759,0.19205,0.93084,3.36519,1.11301,0.000279328,0.000279328,0.000279328
4,17.8111,1.22728,2.61391,1.36418,0.00792,0.58189,0.42164,0.30862,0.92873,3.21996,1.12157,0.000369602,0.000369602,0.000369602
5,20.7446,1.27185,2.28213,1.3963,0.00765,0.57942,0.43346,0.30752,0.98977,3.09752,1.13186,0.000456577,0.000456577,0.000456577
6,23.6765,1.21943,1.96096,1.32544,0.93956,0.13596,0.44917,0.3266,1.06231,2.78784,1.21227,0.000540252,0.000540252,0.000540252
7,26.5854,1.16424,1.68769,1.28667,0.842,0.21666,0.46487,0.35098,1.11425,2.61799,1.25052,0.000620627,0.000620627,0.000620627
8,29.4886,1.1762,1.64006,1.29834,0.86496,0.29226,0.4705,0.34687,1.18016,2.5635,1.32232,0.000697702,0.000697702,0.000697702
9,32.3798,1.22462,1.6575,1.34274,0.71247,0.39993,0.37642,0.28069,1.16584,2.45146,1.31612,0.000771478,0.000771478,0.000771478
10,35.269,1.19487,1.57009,1.30134,0.8021,0.43576,0.49863,0.36294,1.20474,2.20562,1.32249,0.000841955,0.000841955,0.000841955
11,38.1179,1.12767,1.43288,1.23468,0.83975,0.47962,0.55301,0.40298,1.13619,1.97731,1.27558,0.000909131,0.000909131,0.000909131
12,41.025,1.12153,1.44461,1.22027,0.88927,0.50964,0.60554,0.44454,1.12727,1.75126,1.26243,0.000909353,0.000909353,0.000909353
13,43.8474,1.10481,1.38403,1.23968,0.91469,0.52366,0.62692,0.46283,1.10665,1.57506,1.23963,0.000891022,0.000891022,0.000891022
14,46.7235,1.10164,1.39865,1.2333,0.94736,0.50274,0.61729,0.46897,1.08379,1.52445,1.2232,0.000872691,0.000872691,0.000872691
15,49.5982,1.16537,1.42545,1.27486,0.89073,0.5486,0.6282,0.4714,1.04193,1.39176,1.18955,0.000854359,0.000854359,0.000854359
16,52.5657,1.14089,1.42292,1.28429,0.89862,0.56425,0.64803,0.48828,1.02778,1.2279,1.16986,0.000836027,0.000836027,0.000836027
17,55.4078,1.10333,1.3269,1.22779,0.65773,0.61812,0.63446,0.46851,1.02519,1.22613,1.17278,0.000817696,0.000817696,0.000817696
18,58.3028,1.08054,1.3186,1.21405,0.6716,0.63243,0.64312,0.49221,0.96332,1.18106,1.14596,0.000799365,0.000799365,0.000799365
19,61.1763,1.08294,1.28462,1.21456,0.60644,0.63261,0.62353,0.48812,0.96241,1.35907,1.16368,0.000781033,0.000781033,0.000781033
20,64.0675,1.11619,1.36893,1.26043,0.72417,0.61554,0.65725,0.51764,0.94745,1.26005,1.13591,0.000762702,0.000762702,0.000762702
21,66.9708,1.06783,1.25809,1.22547,0.73055,0.59654,0.66556,0.5116,0.94608,1.18756,1.13797,0.00074437,0.00074437,0.00074437
22,69.789,1.0496,1.28327,1.21952,0.80417,0.61685,0.68523,0.52675,0.93597,1.09204,1.12177,0.000726038,0.000726038,0.000726038
23,72.6604,1.04499,1.20983,1.21281,0.84949,0.64643,0.70217,0.53265,0.91151,1.06419,1.10626,0.000707707,0.000707707,0.000707707
24,75.5599,1.01625,1.18034,1.20083,0.84516,0.61645,0.6988,0.52034,0.96753,1.20616,1.13369,0.000689376,0.000689376,0.000689376
25,78.3972,1.04306,1.18344,1.18761,0.72123,0.6322,0.68257,0.50633,0.99419,1.19332,1.13809,0.000671044,0.000671044,0.000671044
26,81.209,1.04436,1.18045,1.20539,0.75402,0.591,0.64655,0.47945,0.99401,1.26607,1.16017,0.000652712,0.000652712,0.000652712
27,84.0433,1.03591,1.15099,1.16964,0.72245,0.63456,0.68024,0.51154,0.95709,1.1252,1.13628,0.000634381,0.000634381,0.000634381
28,86.9634,1.00163,1.15758,1.18183,0.83877,0.68281,0.7338,0.54818,0.90832,0.93645,1.09241,0.000616049,0.000616049,0.000616049
29,89.7705,0.97471,1.11593,1.15302,0.81965,0.69527,0.73544,0.56364,0.86569,0.88847,1.08313,0.000597718,0.000597718,0.000597718
30,92.6309,0.9706,1.06148,1.15331,0.82136,0.71698,0.74919,0.5808,0.8398,0.84751,1.06839,0.000579386,0.000579386,0.000579386
31,95.4733,0.97315,1.11125,1.16365,0.79861,0.7217,0.74869,0.57931,0.82426,0.84341,1.05713,0.000561055,0.000561055,0.000561055
32,98.3142,0.96655,1.11517,1.16974,0.80607,0.72299,0.75107,0.5886,0.82992,0.83274,1.0601,0.000542723,0.000542723,0.000542723
33,101.135,0.95225,1.10253,1.14686,0.79753,0.72431,0.74399,0.58019,0.83565,0.84572,1.0593,0.000524392,0.000524392,0.000524392
34,104,0.93692,1.07706,1.13609,0.80306,0.72933,0.75727,0.58905,0.82965,0.81955,1.05603,0.00050606,0.00050606,0.00050606
35,106.819,0.95102,1.08815,1.15942,0.8935,0.7254,0.77639,0.60046,0.81764,0.79727,1.0532,0.000487729,0.000487729,0.000487729
36,109.781,0.95145,1.0371,1.14996,0.81822,0.75159,0.78721,0.61192,0.78411,0.76052,1.0415,0.000469397,0.000469397,0.000469397
37,112.611,0.94259,1.04784,1.1617,0.83687,0.73572,0.78526,0.60366,0.81913,0.78093,1.06184,0.000451066,0.000451066,0.000451066
38,115.446,0.9388,1.05703,1.15665,0.81662,0.76253,0.79138,0.60669,0.81817,0.77406,1.06306,0.000432734,0.000432734,0.000432734
39,118.284,0.94798,1.0661,1.14691,0.82792,0.74091,0.7869,0.60872,0.81361,0.76141,1.04481,0.000414403,0.000414403,0.000414403
40,121.181,0.90213,1.0142,1.11161,0.82836,0.74483,0.78771,0.61485,0.80348,0.74297,1.03532,0.000396071,0.000396071,0.000396071
41,123.999,0.92257,1.0258,1.14346,0.83329,0.76847,0.79741,0.62618,0.78405,0.72993,1.03443,0.00037774,0.00037774,0.00037774
42,126.876,0.90323,0.96972,1.10756,0.82484,0.77706,0.80511,0.63187,0.77863,0.71792,1.03525,0.000359409,0.000359409,0.000359409
43,129.733,0.91508,0.97345,1.1316,0.84621,0.76273,0.81072,0.63538,0.76322,0.72377,1.02267,0.000341077,0.000341077,0.000341077
44,132.625,0.89158,0.95604,1.10615,0.83901,0.77775,0.81065,0.64012,0.75606,0.72247,1.01938,0.000322745,0.000322745,0.000322745
45,135.46,0.90309,0.98817,1.11771,0.85255,0.78161,0.81751,0.64069,0.75987,0.72187,1.02196,0.000304414,0.000304414,0.000304414
46,138.238,0.88523,0.91433,1.07947,0.88247,0.77132,0.81808,0.64419,0.74798,0.71244,1.01585,0.000286083,0.000286083,0.000286083
47,141.149,0.86532,0.95432,1.0987,0.86425,0.77329,0.82051,0.65077,0.73757,0.69848,1.00837,0.000267751,0.000267751,0.000267751
48,144.063,0.89127,0.927,1.10815,0.841,0.78792,0.81984,0.64781,0.73944,0.69003,1.00539,0.00024942,0.00024942,0.00024942
49,146.862,0.85869,0.90549,1.10447,0.83783,0.78432,0.81958,0.64526,0.74807,0.69477,1.00627,0.000231088,0.000231088,0.000231088
50,149.697,0.87183,0.95448,1.10857,0.84595,0.78758,0.82114,0.6505,0.73133,0.6824,1.00146,0.000212757,0.000212757,0.000212757
51,157.584,0.76073,0.91113,1.05266,0.83927,0.79198,0.8257,0.65286,0.73368,0.68378,1.00364,0.000194425,0.000194425,0.000194425
52,160.401,0.77006,0.90349,1.06282,0.89475,0.76538,0.82647,0.65874,0.73847,0.7224,1.00541,0.000176094,0.000176094,0.000176094
53,163.18,0.77451,0.91782,1.06595,0.87051,0.77564,0.8286,0.65704,0.73057,0.70946,0.99923,0.000157762,0.000157762,0.000157762
54,166.008,0.76237,0.88396,1.0518,0.87479,0.78094,0.83075,0.66307,0.71721,0.6793,0.99437,0.000139431,0.000139431,0.000139431
55,168.778,0.73349,0.85941,1.02448,0.88221,0.78249,0.83106,0.6643,0.70386,0.65605,0.98868,0.000121099,0.000121099,0.000121099
56,171.643,0.74133,0.8679,1.04144,0.8517,0.79772,0.8305,0.66707,0.69132,0.64436,0.98324,0.000102768,0.000102768,0.000102768
57,174.435,0.76186,0.8693,1.08804,0.85172,0.80282,0.83154,0.6692,0.68608,0.6403,0.98002,8.4436e-05,8.4436e-05,8.4436e-05
58,177.192,0.73138,0.83655,1.04425,0.86908,0.79408,0.83307,0.6674,0.68738,0.64172,0.97956,6.61045e-05,6.61045e-05,6.61045e-05
59,180.033,0.72765,0.81626,1.02048,0.87591,0.79198,0.83702,0.67068,0.68476,0.6434,0.97786,4.7773e-05,4.7773e-05,4.7773e-05
60,182.838,0.73267,0.84651,1.03866,0.86176,0.80687,0.83649,0.67113,0.67851,0.64312,0.97523,2.94415e-05,2.94415e-05,2.94415e-05
